#DMCNumber , Description , Red , Green , Blue , Hex
223 , Shell Pink - LT , 219 , 128 , 115 , 0xDB8073
221 , Shell Pink - VY DK , 156 , 41 , 74 , 0x9C294A
211 , Lavender - LT , 243 , 218 , 228 , 0xF3DAE4
210 , Lavender - MED , 236 , 207 , 225 , 0xECCFE1
209 , Lavender - DK , 206 , 148 , 186 , 0xCE94BA
520 , Fern Green - DK , 55 , 73 , 18 , 0x374912
519 , Sky Blue , 194 , 209 , 207 , 0xC2D1CF
518 , Wedgwood - LT , 102 , 148 , 154 , 0x66949A
517 , Wedgwood - MED , 16 , 127 , 135 , 0x107F87
505 , Grass Green - DK +++ , 58206 , 99221 , 64193 , 0x3A6340
504 , Blue Green - LT *** , 206 , 221 , 193 , 0xCEDDC1
503 , Blue Green - MED , 195 , 206 , 183 , 0xC3CEB7
502 , Blue Green , 134 , 158 , 134 , 0x869E86
501 , Blue Green - DK , 67 , 85 , 73 , 0x435549
500 , Blue Green - VY DK , 43 , 57 , 41 , 0x2B3929
498 , Christmas Red - LT , 187 , 0 , 97 , 0xBB0061
472 , Avocado Green - ULT LT , 238 , 255 , 182 , 0xEEFFB6
471 , Avocado Green - VY LT , 176 , 187 , 140 , 0xB0BB8C
470 , Avocado Green - LT , 133 , 143 , 108 , 0x858F6C
469 , Avocado Green , 116 , 114 , 92 , 0x74725C
453 , Shell Grey - LT , 235 , 207 , 185 , 0xEBCFB9
452 , Shell Grey - MED , 210 , 185 , 175 , 0xD2B9AF
451 , Shell Grey - DK , 179 , 151 , 143 , 0xB3978F
445 , Lemon - LT , 255 , 255 , 190 , 0xFFFFBE
